Timestamp,"Enter your Prolific ID.

*Note: If this value is automatically filled, do not edit it. Otherwise, input your Prolific ID (required for payment).","Instructions:

1. Complete all questions in this survey.

2. At the end of the survey, you will be provided with a code which you must enter in Prolific. You will have to manually go back to Prolific to enter this code.

3. Ensure that you submit the survey and that a confirmation page appears stating that your response has been submitted. This is a requirement for payment.

Do you understand these instructions?","We will be collecting some sensitive or protected user profile data points, such as age and gender identity, with additional questions on personal interests in politics, culture, profession, and religion.

This data will be used to measure the quantity of social interactions by presenting user profiles to other survey participants. This data will be available publicly, but all identifiable characteristics of the survey participants will be anonymized. 

Please contact the researchers if you would like your data to be deleted. We will handle your data according to the data protection laws of the United States, including California Consumer Privacy Act (CCPA).

Disclosure: All information collected during the study will used solely for research purposes. Participation is voluntary, and you may withdraw at any time without penalty.

Do you consent to the parameters provided above?","You and this individual both receive a notification that you two should connect.

Given the scenario above, would you choose to:",What aspect(s) of the person or the scenario motivated your decision?,"You and this individual both receive a notification that you two should connect.

Given the scenario above, would you choose to:",What aspect(s) of the person or the scenario motivated your decision?,"You and this individual both receive a notification that you two should connect.

Given the scenario above, would you choose to:",What aspect(s) of the person or the scenario motivated your decision?,"You and this individual both receive a notification that you two should connect.

Given the scenario above, would you choose to:",What aspect(s) of the person or the scenario motivated your decision?,"You and this individual both receive a notification that you two should connect.

Given the scenario above, would you choose to:",What aspect(s) of the person or the scenario motivated your decision?,"You and this individual both receive a notification that you two should connect.

Given the scenario above, would you choose to:",What aspect(s) of the person or the scenario motivated your decision?,"You and this individual both receive a notification that you two should connect.

Given the scenario above, would you choose to:",What aspect(s) of the person or the scenario motivated your decision?,"You and this individual both receive a notification that you two should connect.

Given the scenario above, would you choose to:",What aspect(s) of the person or the scenario motivated your decision?,"You and this individual both receive a notification that you two should connect.

Given the scenario above, would you choose to:",What aspect(s) of the person or the scenario motivated your decision?,"You and this individual both receive a notification that you two should connect.

Given the scenario above, would you choose to:",What aspect(s) of the person or the scenario motivated your decision?,"The Prolific code for this study is C7AO3V83.

Please copy and paste the above code into Prolific to prove that you completed this study, and submit this survey."
4/20/2024 22:49:55,60dd16a6d16ec5f253b2e29e,Yes.,I consent.,Chat (via instant messaging),"Considering she is an introvert, chatting online would seem to be an easier means of getting to know that person without making it awkward for myself and them.",Meet (in-person),I lean to the hobbies that this person chooses and think that meeting in person would be far easier to get to know them as a person.,Chat (via instant messaging),"Given their lack of employment and obsession with rock, I would find it easier to converse with online via chat.",Meet (in-person),I would be intrigued by someone so young that already holds a bachelor's degree and a job. Plus they love games.,Meet (in-person),I am intrigued by this person's hobbies and interests so I would prefer to meet in person.,Reject,I wouldn't be interest in chatting up with this person as I am not into men.,Reject,"Given their age and gender, I would not find much interest in meeting up with men, regardless of their interests or hobbies.",Chat (via instant messaging),This is probably someone I would want to get to know better at a distance via online chat before I decide to meet them in person.,Reject,"Not interested in meeting men, especially anyone that favors metal.",Reject,Another male so I would decline to meet or chat with them.,Select this option if you will enter the code in Prolific and submit this survey.
4/20/2024 23:18:14,5eb3935fd0e02317909c5f32,Yes.,I consent.,Reject,"I have nothing against them or any of their characteristics; I'm just not that social of a person, so I probably wouldn't make an effort to meet or online chat with someone except in rare cases.",Meet (in-person),"Since they are alone, I wouldn't mind having a conversation with this person about creative arts hobbies, literature, or YouTube. It seems like we have some similar interests.",Reject,"I have some similar interests with this person, but since they are already talking to others, I probably wouldn't take an interest in talking with them.",Reject,"She is a rather young and already in a bit group, so I probably wouldn't be particularly interested in talking to her.",Meet (in-person),"I would wonder why she is looking at me. I would maybe be interested in talking with her about creative hobbies or literature, since those are shared interests.",Reject,He is already in too big of a group for me to take much interest.,Meet (in-person),"I would wonder why this person is looking at me, and would maybe be open to talking about arts and literature with him.",Reject,"I would wonder why she is looking at me, but she is in a large group, which I wouldn't really want to deal with.",Meet (in-person),"Him being with a medium-sized group would make me hesitate, but we have a lot of similar interests and other similarities, so I would be interested in talking to him about those things - especially about work.",Chat (via instant messaging),"Since I also use Reddit a lot, I wouldn't mind talking with him about animals or something like that (our shared interest) on Reddit.",Select this option if you will enter the code in Prolific and submit this survey.
4/20/2024 23:40:18,5d68c88914867f000139f627,Yes.,I consent.,Reject,I would not pursue a friendship with anyone on that format. Strangers at a restaurant don't want to be my friend they want to eat lunch,Reject,Again I would be uncomfortable starting a friendship with somebody who was trying to eat lunch / breakfast because I feel like I was bothering them. Although he sounds interesting and I would hope that a chance encounter would have him introduce himself to me,Reject,If some strange encounter had us talking I would prefer to do it on chat however I would not instigate a conversation with the stranger,Reject,They have too many people in their circle so even if I was going to approach them which is highly unlikely I would not do it when they were busy with friends,Reject,I would not approach anyone in public that I didn't know and try to become their friend or strike up a conversation,Reject,Same reasoning as the last five. I would just not approach somebody in public with the hopes of striking up a random conversation,Reject,See the last eight?,Reject,Because she is in public trying to do something other than strike up a random conversation with a stranger. And she sounds boring,Reject,If I was going to have a conversation with a complete stranger I guess it would be this one however unless she approached me I would not strike up a conversation with a complete stranger,Reject,This man would like to drink his cup of coffee not be bothered by my awkward attempts at conversation,Select this option if you will enter the code in Prolific and submit this survey.
4/21/2024 1:09:19,6604ae923fe580e8b2e745f2,Yes.,I consent.,Reject,"I wouldn't decide to start interacting with a stranger outside of the context of a shared identity, a hobby group, or some other proximity like being neighbors or working together",Reject,I think I would have almost nothing in common with this person,Reject,I don't have a reason to form a connection with this person,Reject,I probably would not seek out friendship with a teenager outside of a mentorship position within a volunteer organization,Chat (via instant messaging),"Given her age and combination of interests and introversion, we may be romantically compatible",Meet (in-person),"Based on his age, interests, earrings, and ambiversion, we may be romantically compatible.",Reject,"This person is older than my father and I don't know him, I don't have a reason to make a connection.",Chat (via instant messaging),"I think this may be an interesting friend to chat with due to her proclivity for reading, line of work, and musical interests.",Reject,I would probably not trust a metal head gamer,Chat (via instant messaging),I think because he's my age and into nature we could have things to chat about.,Select this option if you will enter the code in Prolific and submit this survey.
4/21/2024 14:44:21,660752ba689e8457ca3487cd,Yes.,I consent.,Chat (via instant messaging),"I like that this person seems like a go-getter and has some personal interest that there are suing. It seems like they have a stable life, both professionally and personally. Although the age and interest necessarily line with myself, I would give it a chance and at least like to connect via messaging",Meet (in-person),Relate to this person’s similar interest in music and creative arts. Their age and physical characteristics are also more my type and closer to my own demographic.,Chat (via instant messaging),"The fact that this person is not currently employed was a bit of a red flag, but I did appreciate their hobbies and creative that show to me that they have intrinsic passions for other things",Chat (via instant messaging),"Although this person is a bit young for me, I would still give them a chance by chatting online as I try to always give people a chance unless there are any true deal breakers listed",Meet (in-person),"This person seems to be more like what I personally look for in a partner, and I relate to their list of hobbies interests, and I also enjoy that they are closer to my age level and will be easier to relate to ",Meet (in-person),"This person also seems to have a lot of similar interest with me and is closer to my age bracket. I personally am open to dating people ages, but the fact that this person is closer to my age bracket makes me more appealing as I think more too.",Chat (via instant messaging),"Although I like the list of hobbies and background of this person, there age is a little outside of what I would typically look for. Although I wouldn’t say it’s a dealbreaker, I would still be open to chatting.",Meet (in-person),"Although this person is still a little younger than what I would typically look for in a person, there are no other dealbreaker and I enjoy mine. Enjoy reading and music.",Meet (in-person),"I love all of the characteristics listed of this particular person. My only negative is that I wish they were a bit taller as my preferences to people who are taller than me, however, that is not a dealbreaker, and I would still chat with him as I feel, we have many similar interests",Meet (in-person),"I also enjoy this profile, particularly the fact that he seems laid-back and dresses casually and isn’t too much. This profile comes off as if this person is laid-back, which is something that I look forward people I want to and hang out with.",Select this option if you will enter the code in Prolific and submit this survey.
4/21/2024 16:43:55,5f0a5a99dbbf721316f118e2,Yes.,I consent.,Reject,"I chose not to connect with this person because of the location. It is a sit-down restaurant and typically, I go out to eat because I want to eat, not because I want to connect with a stranger. It feels like an odd place to try and meet somebody because a sit-down restaurant implies designated seating arrangement. I think it would be rude to just go up to a stranger in this place. Also, I would be intimidated to approach because the individual is there with a group of other people. I would feel hesitant to intrude on their time together. I would also be self-conscious because there would be an audience watching me if I attempt to connect to this person.",Reject,"I would reject this person because of their age. It is unfair, but he's also as old as my parents. I don't want to hang out with someone who could be my dad.",Reject,This decision is similar to the last; she is closer in age to my parents and I don't want to talk to someone close to my parents' age. I feel like we are at different places in life that would make it hard for me to want to relate to them because I could be as old as their kid.,Reject,"Their age. In this case, I don't want to make friends with anybody whose age ends in -teen. It's just personal preference. They're younger than my sibling; I feel like I would end up babying them because we have an age gap.",Chat (via instant messaging),"Personality. I am also an introvert, and would still find it intimidating to approach and introduce myself to a more than one person at a time. Maybe if the cafe wasn't crowded, I could psyche myself up and be open to the potential of connecting in person with them and the other person. It wouldn't be as nerve-wracking as a group of people. I think chat would be easier, and I could use it as a segue to meet them in person because I can ask if I can go over to them.",Chat (via instant messaging),The person is with two to three other people. I would be intimidated by the group aspect and having to introduce myself and have an audience. The bar setting. I usually keep to myself and my friends when I go to the bar. ,Chat (via instant messaging),"This is contradictory to past answers where I would not want to meet with someone close to my parents' age. Maybe it's because he is older, that I think of him closer to a cool grandpa figure I could learn about electronic music from and talk about collecting. The venue also makes me more willing to talk to this person because it could be an ice breaker. Maybe the age thing differs from somebody in their 50s because it is a holdover to how I befriended a lot of nontraditional students when I was in college and also my professors and guest lecturers.",Chat (via instant messaging),"Age. We are in a similar age range, so I think we could relate to each other a little easier. Venue. Again, I don't normally go up to another person's table when I am at a sit-down restaurant. It would be easier to chat in this scenario.",Chat (via instant messaging),"Venue. It is a sit-down restaurant, and I stay in my lane and stay at my table with whoever I am with. Group aspect. It would be intimidating to introduce myself to one individual when they are hanging out with a group of people. Hobby. I like games, and I think it would be fun to get some recommendations on what video game or board game I should play.",Chat (via instant messaging),"Crowded and no music playing. I would feel so self-conscious if I went over to this person and everyone at the cafe could hear our conversation/me introducing myself to someone new. Maybe if there was music, I could convince myself that the music can obscure how nervous I would be. Hobby and interest. I like hiking, but never had friends who wanted to do that with me. It would be fun to have someone as enthusiastic about hiking as I am to hang out with.",Select this option if you will enter the code in Prolific and submit this survey.
4/21/2024 23:46:50,637ea165e071484955b325f7,Yes.,I consent.,Chat (via instant messaging),their occupation,Meet (in-person),"because of their hobby and interests, very simiiar to mine",Meet (in-person),because of their hobby and the fact they have tatoos as i do,Reject,nothing in common,Chat (via instant messaging),the fact hat they have a tatoo and we have similiar hobbys,Meet (in-person),their clothing choices,Meet (in-person),similar hobby and college degree,Reject,too young to start a conversation or relationship with,Meet (in-person),"their interests, clothing and hobby choices",Meet (in-person),their interests and hobby choices,Select this option if you will enter the code in Prolific and submit this survey.
4/22/2024 0:20:32,5e78e53a0b2d8247350c1c86,Yes.,I consent.,Meet (in-person),had a lot of the same interests as me,Meet (in-person),already there so why not meet him,Reject,person is not employed,Meet (in-person),sounds like a interesting person,Meet (in-person),sounds smart and has some of the same interests,Reject,sounds a little too kick back for me,Reject,doesn't sound like someone I would like that much,Reject,very different from me,Reject,not employed,Chat (via instant messaging),not sure if my type,Select this option if you will enter the code in Prolific and submit this survey.
